municipality,state,website
Provo,Utah,https://provo.gov
Ogden,Utah,https://ogdencity.gov
Albany,New York,https://albanyny.gov
Bakersfield,California,https://bakersfieldcity.us
Wichita,Kansas,https://wichita.gov
Augusta,Georgia,https://augustaga.gov
Greenville,South Carolina,https://greenvillesc.gov
Pensacola,Florida,https://cityofpensacola.com
Anaheim,California,https://anaheim.net
Poughkeepsie,New York,https://cityofpoughkeepsie.com
Santa Rosa,California,https://srcity.org
Winter Haven,Florida,https://mywinterhaven.com
Canton,Ohio,https://cantonohio.gov
Shreveport,Louisiana,https://shreveportla.gov
Rockford,Illinois,https://rockfordil.gov
Peoria,Illinois,https://peoriagov.org
Killeen,Texas,https://killeentexas.gov
Kennewick,Washington,https://go2kennewick.com
York,Pennsylvania,https://yorkcountypa.gov
Garland,Texas,https://garlandtx.gov
San Bernardino,California,https://sanbernardino.gov
Portland,Maine,https://portlandmaine.gov
Fontana,California,https://fontanaca.gov
McKinney,Texas,https://mckinneytexas.org
Frederick,Maryland,https://frederickcountymd.gov
Murfreesboro,Tennessee,https://murfreesborotn.gov
Newport News,Virginia,https://nnva.gov
Gainesville,Georgia,https://gainesville.org
Panama City,Florida,https://panamacity.gov
Hemet,California,https://hemetca.gov
Danbury,Connecticut,https://danbury-ct.gov
High Point,North Carolina,https://highpointnc.gov
Pembroke Pines,Florida,https://ppines.com
Marysville,Washington,https://marysvillewa.gov
Fredericksburg,Virginia,https://fredericksburgva.gov
Odessa,Texas,https://odessa-tx.gov
Hollywood,Florida,https://hollywoodfl.org
Escondido,California,https://escondido.gov
Surprise,Arizona,https://surpriseaz.gov
Mesquite,Texas,https://cityofmesquite.com
Beaumont,Texas,https://beaumonttexas.gov
Midland,Texas,https://midlandtexas.gov
West Valley City,Utah,https://wvc-ut.gov
Hampton,Virginia,https://hampton.gov
Elizabeth,New Jersey,https://elizabethnj.org
Sterling Heights,Michigan,https://sterlingheights.gov
Billings,Montana,https://billingsmt.gov
Abilene,Texas,https://abilenetx.gov
Arvada,Colorado,https://arvadaco.gov
Pueblo,Colorado,https://pueblo.us
Burlington,Vermont,https://burlingtonvt.gov
Saginaw,Michigan,https://saginaw-mi.com
Westminster,Colorado,https://westminsterco.gov
League City,Texas,https://leaguecitytx.gov
Lowell,Massachusetts,https://lowellma.gov
Elgin,Illinois,https://elginil.gov
Leominster,Massachusetts,https://leominster-ma.gov
Longview,Texas,https://longviewtexas.gov
Murrieta,California,https://murrietaca.gov
Idaho Falls,Idaho,https://idahofallsidaho.gov
Miami Gardens,Florida,https://miamigardens-fl.gov
Temecula,California,https://temeculaca.gov
Jacksonville,North Carolina,https://jacksonvillenc.gov
Menifee,California,https://cityofmenifee.us
San Tan Valley,Arizona,https://pinal.gov
Charlottesville,Virginia,https://charlottesville.gov
Lafayette,Colorado,https://lafayetteco.gov
Daly City,California,https://dalycity.org
San Angelo,Texas,https://sanangelo.gov
Bismarck,North Dakota,https://bismarcknd.gov
New Braunfels,Texas,https://newbraunfels.gov
Beaverton,Oregon,https://beavertonoregon.gov
Middletown,Ohio,https://cityofmiddletown.org
Livonia,Michigan,https://livonia.gov
Mount Pleasant,South Carolina,https://tompsc.com
Hoover,Alabama,https://hooveralabama.gov
Williamsburg,Virginia,https://williamsburgva.gov
Chino,California,https://cityofchino.org
Fort Myers,Florida,https://fortmyers.gov
Clifton,New Jersey,https://cliftonnj.org
Waukegan,Illinois,https://waukeganil.gov
San Leandro,California,https://sanleandro.org
Citrus Heights,California,https://citrusheights.net
Decatur,Illinois,https://decaturil.gov
Baytown,Texas,https://baytown.org
Westland,Michigan,https://cityofwestland.com
Alhambra,California,https://cityofalhambra.org
Jackson,Michigan,https://cityofjackson.org
Homestead,Florida,https://homesteadfl.gov
Morgantown,West Virginia,https://morgantownwv.gov
State College,Pennsylvania,https://statecollegepa.us
Jonesboro,Arkansas,https://jonesboro.org
Tustin,California,https://tustinca.org
Pasco,Washington,https://pasco-wa.gov
Chino Hills,California,https://chinohills.org
Flower Mound,Texas,https://flowermound.gov
Woodbury,Minnesota,https://woodburymn.gov
Castle Rock,Colorado,https://crgov.com
Pocatello,Idaho,https://pocatello.gov
Saratoga Springs,New York,https://saratoga-springs.org
Missouri City,Texas,https://missouricitytx.gov
Broomfield,Colorado,https://broomfield.org
Battle Creek,Michigan,https://battlecreekmi.gov
Brunswick,Georgia,https://glynncounty.org
Mount Vernon,New York,https://cmvny.com
Lakeville,Minnesota,https://lakevillemn.gov
Framingham,Massachusetts,https://framinghamma.gov
Fairbanks,Alaska,https://fnsb.gov
St. Charles,Missouri,https://stcharlescitymo.gov
Casas Adobes,Arizona,https://pima.gov
Cleveland,Tennessee,https://clevelandtn.gov
Ankeny,Iowa,https://ankenyiowa.gov
Maple Grove,Minnesota,https://maplegrovemn.gov
North Richland Hills,Texas,https://nrhtx.com
Glens Falls,New York,https://cityofglensfalls.com
Passaic,New Jersey,https://cityofpassaic.com
Dubuque,Iowa,https://cityofdubuque.org
Schenectady,New York,https://cityofschenectady.com
Union City,California,https://unioncity.org
Kankakee,Illinois,https://k3county.net
Leander,Texas,https://leandertx.gov
Apex,North Carolina,https://apexnc.org
Yorba Linda,California,https://yorbalindaca.gov
Watsonville,California,https://watsonville.gov
Mount Vernon,Washington,https://mountvernonwa.gov
Victoria,Texas,https://victoriatx.org
Lima,Ohio,https://limaohio.gov
Lynwood,California,https://lynwoodca.gov
Pflugerville,Texas,https://pflugervilletx.gov
Millcreek,Utah,https://millcreekut.gov
Bay City,Michigan,https://baycitymi.gov
Bossier City,Louisiana,https://bossiercity.org
Council Bluffs,Iowa,https://councilbluffs-ia.gov
Hendersonville,Tennessee,https://hvilletn.org
Dearborn Heights,Michigan,https://dearbornheightsmi.gov
Marietta,Georgia,https://mariettaga.gov
Wellington,Florida,https://wellingtonfl.gov
Woodland,California,https://cityofwoodland.gov
Parker,Colorado,https://parkerco.gov
Stonecrest,Georgia,https://stonecrestga.gov
North Miami,Florida,https://northmiamifl.gov
Blue Springs,Missouri,https://bluespringsgov.com
Margate,Florida,https://margatefl.com
Madison,Alabama,https://madisonal.gov
St. Clair Shores,Michigan,https://scsmi.net
St. Peters,Missouri,https://stpetersmo.net
Royal Oak,Michigan,https://romi.gov
Bel Air South,Maryland,https://belairmd.org
Casa Grande,Arizona,https://casagrandeaz.gov
Kettering,Ohio,https://mcohio.org
Bartlett,Tennessee,https://cityofbartlett.org
Highland,California,https://cityofhighland.org
Fountain Valley,California,https://fountainvalley.gov
Bentonville,Arkansas,https://bentonvillear.com
Chicopee,Massachusetts,https://chicopeema.gov
West Haven,Connecticut,https://cityofwesthaven.com
Texas City,Texas,https://texascitytx.gov
Manhattan,Kansas,https://manhattanks.gov
Colton,California,https://coltonca.gov
Huntington Park,California,https://hpca.gov
Pinellas Park,Florida,https://pinellas-park.com
Twin Falls,Idaho,https://tfid.org
Summerville,South Carolina,https://summervillesc.gov
Westfield,Indiana,https://westfieldin.gov
Troy,New York,https://troyny.gov
Burleson,Texas,https://burlesontx.com
Levittown,Pennsylvania,https://buckscounty.gov
Grapevine,Texas,https://grapevinetexas.gov
Delano,California,https://cityofdelano.org
Rockwall,Texas,https://rockwallcountytexas.com
Azusa,California,https://azusaca.gov
Bedford,Texas,https://bedfordtx.gov
Portage,Michigan,https://portagemi.gov
Titusville,Florida,https://titusville.com
Ceres,California,https://ceres.gov
Stillwater,Oklahoma,https://stillwaterok.gov
Bothell,Washington,https://bothellwa.gov
Cedar Hill,Texas,https://cedarhilltx.com
Fort Pierce,Florida,https://cityoffortpierce.com
Minot,North Dakota,https://minotnd.gov
Ocoee,Florida,https://ocoee.org
Roswell,New Mexico,https://roswell-nm.gov
Brea,California,https://cityofbrea.gov
Rancho Santa Margarita,California,https://cityofrsm.org
Roseville,Michigan,https://roseville-mi.gov
Huntsville,Texas,https://huntsvilletx.gov
Beavercreek,Ohio,https://beavercreekohio.gov
Gallatin,Tennessee,https://gallatintn.gov
Olive Branch,Mississippi,https://obms.us
Attleboro,Massachusetts,https://cityofattleboro.us
Farmington,New Mexico,https://fmtn.org
Pahrump,Nevada,https://pahrumpnv.gov
Haltom City,Texas,https://haltomcitytx.com
East Lansing,Michigan,https://cityofeastlansing.com
Clermont,Florida,https://clermontfl.gov
Oakley,California,https://oakleyca.gov
Salem,Massachusetts,https://salemma.gov
Concord,New Hampshire,https://concordnh.gov
Saratoga Springs,Utah,https://saratogasprings-ut.gov
Oakland Park,Florida,https://oaklandparkfl.gov
Lombard,Illinois,https://villageoflombard.org
Newnan,Georgia,https://newnanga.gov
Holly Springs,North Carolina,https://hollyspringsnc.gov
Huber Heights,Ohio,https://hhoh.org
West Babylon,New York,https://townofbabylonny.gov
Schertz,Texas,https://schertz.com
Campbell,California,https://campbellca.gov
Buffalo Grove,Illinois,https://vbg.org
Puyallup,Washington,https://cityofpuyallup.org
Danville,Virginia,https://danville-va.gov
Peachtree Corners,Georgia,https://peachtreecornersga.gov
Coppell,Texas,https://coppelltx.gov
Lebanon,Tennessee,https://lebanontn.org
